"ID","LAT","LON","ALT","Local_climate_zone","Landcover","building_height","Sky_view_factor","installation_height"
"LC-002",50.847,4.756,47,"9","1",4.28000020980835,0.610367295455032,2
"LC-003",50.87,4.728,44,"5","1",5.03828569139753,0.691315456180815,2
"LC-004",50.871,4.685,31,"9","1",9.05096375224102,0.798586145797862,2
"LC-005",50.881,4.713,26,"2","1",5.05000019073486,0.68541019686896,2
"LC-006",50.912,4.716,13,"6","1",0,0.954031782463575,2
"LC-007",50.869,4.705,37,"5","1",0,0.629456840455532,2
"LC-008",50.875,4.663,51,"14","1",0,0.8969054099841,2
"LC-009",50.871,4.714,38,"5","1",13.1149997711182,0.652399797084408,2
"LC-010",50.878,4.747,54,"9","1",3.75999999046326,0.60024038673776,2
"LC-011",50.86,4.691,45,"5","1",0,0.614426091319238,2
"LC-012",50.89,4.728,23,"5","1",5.38000011444092,0.765520137696276,2
"LC-013",50.928,4.721,12,"6","1",6.37636362422596,0.815038255704478,2
"LC-014",50.877,4.711,34,"3","1",0,0.595991920313615,2
"LC-016",50.881,4.737,34,"6","1",0,0.713177970714039,2
"LC-019",50.924,4.712,11,"6","1",3.02999997138977,0.7909347777231,2
"LC-021",50.885,4.696,17,"3","1",11.210000038147,0.860588448347559,2
"LC-022",50.887,4.694,44,"12","1",2.0699999332428,0.706571344156935,2
"LC-023",50.905,4.699,20,"9","1",0,0.854738929448798,2
"LC-028",50.851,4.691,47,"9","1",9.5,0.567289542561279,2
"LC-029",50.884,4.688,42,"5","1",2.3009090423584,0.767837049469304,2
"LC-030",50.862,4.654,28,"14","1",2.3199999332428,0.856411185613863,2
"LC-031",50.857,4.705,49,"6","1",2.38285705021449,0.805734584131573,2
"LC-032",50.881,4.695,18,"2","1",12.3400001525879,0.519618628840619,2
"LC-033",50.883,4.724,27,"3","1",0,0.870250761508942,2
"LC-034",50.892,4.692,49,"6","1",9.69499971753075,0.655251067768358,2
"LC-036",50.877,4.689,20,"5","0",0,0.782750055384942,2
"LC-037",50.874,4.706,35,"2","0",0,0.635264450755601,2
"LC-038",50.873,4.695,20,"5","0",0,0.961854480971128,3
"LC-039",50.873,4.694,19,"5","1",0,0.931150473630767,2
"LC-040",50.89,4.661,73,"9","1",9.36999988555908,0.739362214367611,2
"LC-041",50.875,4.695,18,"5","1",14.1199998855591,0.651601075265509,2
"LC-042",50.882,4.685,38,"5","1",2.85784312790515,0.844029723935657,2
"LC-043",50.868,4.748,57,"6","1",0,0.711595499191802,2
"LC-044",50.884,4.713,21,"2","0",14.1766662597656,0.660199342223887,3
"LC-045",50.931,4.681,15,"14","1",8.51999980106688,0.789279556717164,2
"LC-046",50.866,4.695,28,"3","1",0,0.862150627298477,2
"LC-047",50.873,4.683,36,"9","1",0,0.838831135555159,2
"LC-048",50.887,4.73,27,"12","1",0,0.794656385889366,2
"LC-049",50.887,4.701,16,"5","0",0,0.878858176465982,3
"LC-051",50.894,4.711,14,"15","0",6.24365393473552,0.721096686046025,2
"LC-052",50.885,4.729,28,"6","1",4.87060220557523,0.652788476560253,2
"LC-053",50.883,4.699,18,"2","1",14.9842856270926,0.609808823873345,2
"LC-054",50.887,4.74,32,"6","1",2.64058821809058,0.757130318355726,2
"LC-056",50.875,4.721,37,"5","1",4.71000003814697,0.887769482672786,2
"LC-057",50.898,4.703,23,"6","1",9.43000030517578,0.847647776958557,2
"LC-059",50.897,4.731,21,"6","1",4.10714294796898,0.738886957857639,2
"LC-060",50.861,4.713,33,"5","1",10.3871427263532,0.632134244035763,2
"LC-061",50.875,4.73,43,"5","1",7.34090926430442,0.644836372013684,2
"LC-062",50.883,4.669,62,"9","1",5.14895511029372,0.637766073740566,2
"LC-064",50.847,4.789,58,"9","1",0,NA,2
"LC-065",50.871,4.701,33,"3","1",10.0900001525879,0.544559381596212,2
"LC-066",50.864,4.718,25,"17","1",0,0.577562774203634,2
"LC-067",50.88,4.697,18,"2","0",22.2999992370605,0.808146472481286,2
"LC-068",50.884,4.705,17,"4","1",0,0.953596404647525,3
"LC-070",50.878,4.675,52,"4","1",0,0.9755342533,2
"LC-071",50.902,4.678,30,"5","1",8.82000017166138,0.770650605519359,2
"LC-072",50.876,4.687,31,"3","1",0,0.683088141769065,2
"LC-073",50.848,4.734,64,"8","0",0,0.919634635281411,3
"LC-074",50.873,4.733,57,"12","1",0.464347839355469,0.637765472284712,2
"LC-075",50.882,4.718,31,"2","1",3.74035720314298,0.774792420764129,2
"LC-076",50.886,4.689,48,"6","1",0,0.931231310973183,2
"LC-077",50.863,4.71,31,"5","1",10.8299999237061,0.769508314775775,2
"LC-078",50.887,4.745,30,"9","1",0,0.725626032876598,2
"LC-080",50.937,4.677,12,"12","1",0,0.936461414166429,2
"LC-081",50.856,4.677,32,"9","1",8.16528570992606,0.846509312368502,2
"LC-082",50.869,4.722,40,"6","1",0,0.901634933120465,2
"LC-084",50.891,4.724,22,"12","1",0,0.927705758486312,2
"LC-085",50.877,4.723,37,"5","1",12.2714286531721,0.834172004613633,2
"LC-086",50.858,4.7,43,"5","0",0,0.954315112612118,3
"LC-087",50.872,4.701,37,"2","0",20.2000007629395,0.592901971061078,3
"LC-088",50.901,4.736,30,"9","1",8.60916661421458,0.687949168304793,2
"LC-089",50.894,4.776,44,"9","1",8.95799987792969,NA,2
"LC-090",50.866,4.712,29,"5","1",10.6599998474121,0.555838259816419,2
"LC-091",50.879,4.704,30,"2","1",0,0.840906118465007,3
"LC-092",50.869,4.711,41,"5","1",0,0.943219120383646,3
"LC-094",50.882,4.702,18,"2","1",24.5300006866455,0.671038771107133,2
"LC-095",50.869,4.697,23,"5","0",0,0.714426881800859,3
"LC-096",50.885,4.679,63,"12","1",0,0.657053264877144,2
"LC-097",50.867,4.71,35,"5","1",8.1274420494257,0.665432361165978,2
"LC-098",50.882,4.703,25,"2","0",23.5329442292581,0.531511658598255,3
"LC-099",50.881,4.715,25,"2","0",0,0.967679057448817,3
"LC-100",50.858,4.68,30,"5","0",0,0.923137765722915,3
"LC-102",50.878,4.701,27,"2","0",16.0518474889838,0.647079035335179,3
"LC-104",50.877,4.689,20,"5","1",0,0.782750055384942,2
"LC-105",50.88,4.7,20,"2","0",0,0.704969320931379,3
"LC-106",50.878,4.707,31,"2","0",1.86000001430511,0.820729950365548,3
"LC-107",50.874,4.706,35,"5","0",0,0.635264450755601,2
"LC-108",50.872,4.696,24,"5","1",8.54620724710925,0.64806251069383,2
"LC-109",50.873,4.699,37,"2","1",24.9799995422363,0.389381600986198,3
"LC-110",50.873,4.703,38,"2","0",10.9200000762939,0.779510100195302,3
"LC-111",50.877,4.709,34,"2","1",0,0.655425946357884,3
"LC-112",50.875,4.701,42,"2","0",18.1351256847382,0.635924706785452,3
"LC-113",50.877,4.698,20,"2","0",18.2445324959515,0.653118280345758,3
"LC-114",50.876,4.703,37,"5","0",19.7800006866455,0.790199703328335,3
"LC-116",50.884,4.689,39,"5","1",17.8400001525879,0.671777152444403,3
"LC-117",50.877,4.7,26,"2","0",20.655554983351,0.651494879996966,3
"LC-118",50.875,4.699,38,"2","0",17.3999996185303,0.712313702661979,3
"LC-119",50.868,4.685,23,"12","1",9.55000019073486,0.860482763203364,3
"LC-120",50.864,4.676,21,"5","1",0,0.938408214063309,2
"LC-121",50.863,4.68,21,"6","1",0,0.950832799029426,3
"LC-122",50.862,4.681,21,"9","0",0,0.157679763203167,3
"LC-123",50.863,4.682,21,"12","1",0,0.772195776934938,3
"LC-124",50.863,4.687,26,"12","1",0,0.626171866030642,3
"LC-125",50.88,4.673,65,"4","0",36.2200012207031,0.704167356292089,3
"LC-126",50.88,4.716,31,"8","0",0,0.849057510072124,2
"LC-127",50.874,4.715,38,"3","1",13.5900001525879,0.548167182061868,2
"LC-128",50.884,4.768,53,"9","1",0,0.910926377016401,2
"LC-129",50.867,4.725,38,"6","0",4.15999984741211,0.898725983615105,3
"LC-130",50.867,4.729,38,"6","0",7.84000015258789,0.884063766600612,3
"LC-131",50.866,4.73,38,"9","0",8.72000026702881,0.821246820006943,3
"LC-132",50.865,4.727,38,"6","0",11.5300003687541,0.849704943100611,3
"LC-133",50.866,4.727,38,"6","0",5.96909111196345,0.843828277915058,3
"LC-134",50.926,4.725,12,"9","0",14.25,0.692416807547354,3
"LC-135",50.874,4.76,92,"14","1",0,0.716678087040187,2
"LC-136",50.881,4.753,44,"12","1",0,0.825018565732831,2
"LC-137",50.854,4.694,42,"6","1",2.75782606912696,0.722500495943758,2
"LC-138",50.873,4.697,22,"5","1",0,0.39904811691825,2
